t,Value,Expiry
41439.00,89.84,43553.00
41442.00,88.87,43553.00
41443.00,88.73,43553.00
41444.00,88.51,43553.00
41445.00,86.30,43553.00
41446.00,85.71,43553.00
41449.00,86.68,43553.00
41450.00,87.06,43553.00
41451.00,87.22,43553.00
41452.00,86.90,43553.00
41453.00,86.24,43553.00
41456.00,85.32,43553.00
41457.00,86.09,43553.00
41458.00,85.97,43553.00
41459.00,86.15,43553.00
41460.00,85.72,43553.00
41463.00,86.01,43553.00
41464.00,86.14,43553.00
41465.00,86.81,43553.00
41466.00,87.43,43553.00
41467.00,87.09,43553.00
41470.00,86.71,43553.00
41471.00,86.48,43553.00
41472.00,86.37,43553.00
41473.00,86.42,43553.00
41474.00,86.48,43553.00
41477.00,86.62,43553.00
41478.00,87.11,43553.00
41479.00,87.25,43553.00
41480.00,87.79,43553.00
41481.00,88.65,43553.00
41484.00,88.60,43553.00
41485.00,88.58,43553.00
41486.00,88.43,43553.00
41487.00,88.12,43553.00
41488.00,88.22,43553.00
41491.00,88.56,43553.00
41492.00,88.43,43553.00
41493.00,88.20,43553.00
41494.00,88.86,43553.00
41495.00,88.69,43553.00
41498.00,88.60,43553.00
41499.00,88.63,43553.00
41500.00,88.81,43553.00
41501.00,88.65,43553.00
41502.00,88.53,43553.00
41505.00,88.23,43553.00
41506.00,88.68,43553.00
41507.00,88.78,43553.00
41508.00,88.46,43553.00
41509.00,87.98,43553.00
41512.00,88.26,43553.00
41513.00,88.18,43553.00
41514.00,87.99,43553.00
41515.00,87.88,43553.00
41516.00,88.49,43553.00
41519.00,89.01,43553.00
41520.00,88.54,43553.00
41521.00,88.82,43553.00
41522.00,88.75,43553.00
41523.00,88.66,43553.00
41526.00,88.00,43553.00
41527.00,88.20,43553.00
41528.00,88.17,43553.00
41529.00,88.40,43553.00
41530.00,88.40,43553.00
41533.00,88.44,43553.00
41534.00,88.37,43553.00
41535.00,88.29,43553.00
41536.00,88.37,43553.00
41537.00,88.46,43553.00
41540.00,88.54,43553.00
41541.00,88.72,43553.00
41542.00,88.42,43553.00
41543.00,88.91,43553.00
41544.00,88.36,43553.00
41547.00,88.33,43553.00
41548.00,88.59,43553.00
41549.00,88.55,43553.00
41550.00,88.24,43553.00
41551.00,88.60,43553.00
41554.00,88.75,43553.00
41555.00,88.30,43553.00
41556.00,88.40,43553.00
41557.00,88.20,43553.00
41558.00,88.42,43553.00
41561.00,88.12,43553.00
41562.00,88.16,43553.00
41563.00,87.44,43553.00
41564.00,87.51,43553.00
41565.00,88.26,43553.00
41568.00,88.60,43553.00
41569.00,88.40,43553.00
41570.00,87.85,43553.00
41571.00,87.41,43553.00
41572.00,87.69,43553.00
41575.00,88.18,43553.00
41576.00,88.17,43553.00
41577.00,89.20,43553.00
41578.00,89.04,43553.00
41579.00,88.64,43553.00
41582.00,88.54,43553.00
41583.00,88.79,43553.00
41584.00,88.56,43553.00
41585.00,88.66,43553.00
41586.00,88.23,43553.00
41589.00,88.45,43553.00
41590.00,88.54,43553.00
41591.00,88.73,43553.00
41592.00,88.41,43553.00
41593.00,88.80,43553.00
41596.00,88.63,43553.00
41597.00,87.68,43553.00
41598.00,88.07,43553.00
41599.00,87.93,43553.00
41600.00,88.23,43553.00
41603.00,88.89,43553.00
41604.00,88.86,43553.00
41605.00,89.21,43553.00
41606.00,89.42,43553.00
41607.00,88.73,43553.00
41610.00,89.31,43553.00
41611.00,89.37,43553.00
41612.00,88.87,43553.00
41613.00,88.33,43553.00
41614.00,88.88,43553.00
41617.00,89.04,43553.00
41618.00,89.36,43553.00
41619.00,89.88,43553.00
41620.00,89.45,43553.00
41621.00,89.09,43553.00
41624.00,88.96,43553.00
41625.00,88.62,43553.00
41626.00,88.47,43553.00
41627.00,88.24,43553.00
41628.00,88.25,43553.00
41631.00,87.68,43553.00
41632.00,87.59,43553.00
41634.00,87.51,43553.00
41635.00,87.37,43553.00
41638.00,87.28,43553.00
41639.00,86.86,43553.00
41641.00,86.02,43553.00
41642.00,86.15,43553.00
41645.00,86.74,43553.00
41646.00,86.01,43553.00
41647.00,86.09,43553.00
41648.00,86.48,43553.00
41649.00,86.55,43553.00
41652.00,86.68,43553.00
41653.00,87.71,43553.00
41654.00,88.55,43553.00
41655.00,88.77,43553.00
41656.00,88.89,43553.00
41659.00,89.04,43553.00
41660.00,89.29,43553.00
41661.00,90.32,43553.00
41662.00,89.95,43553.00
41663.00,90.50,43553.00
41666.00,90.61,43553.00
41667.00,91.12,43553.00
41668.00,90.98,43553.00
41669.00,90.53,43553.00
41670.00,90.12,43553.00
41673.00,90.27,43553.00
41674.00,90.45,43553.00
41675.00,91.02,43553.00
41676.00,91.09,43553.00
41677.00,91.86,43553.00
41680.00,91.06,43553.00
41681.00,91.56,43553.00
41682.00,91.59,43553.00
41683.00,91.97,43553.00
41684.00,91.95,43553.00
41687.00,92.13,43553.00
41688.00,91.55,43553.00
41689.00,91.51,43553.00
41690.00,91.59,43553.00
41691.00,91.51,43553.00
41694.00,91.80,43553.00
41695.00,91.40,43553.00
41696.00,91.29,43553.00
41697.00,91.59,43553.00
41698.00,91.73,43553.00
41701.00,91.44,43553.00
41702.00,90.95,43553.00
41703.00,90.88,43553.00
41704.00,91.18,43553.00
41705.00,91.64,43553.00
41708.00,92.06,43553.00
41709.00,92.48,43553.00
41710.00,92.64,43553.00
41711.00,92.82,43553.00
41712.00,93.08,43553.00
41715.00,92.37,43553.00
41716.00,92.35,43553.00
41717.00,92.17,43553.00
41718.00,92.43,43553.00
41719.00,92.30,43553.00
41722.00,92.16,43553.00
41723.00,92.06,43553.00
41724.00,92.25,43553.00
41725.00,92.21,43553.00
41726.00,91.60,43553.00
41729.00,91.77,43553.00
41730.00,91.73,43553.00
41731.00,92.64,43553.00
41732.00,93.14,43553.00
41733.00,93.00,43553.00
41736.00,93.11,43553.00
41737.00,92.72,43553.00
41738.00,92.59,43553.00
41739.00,92.57,43553.00
41740.00,92.32,43553.00
41743.00,92.28,43553.00
41744.00,92.29,43553.00
41745.00,91.82,43553.00
41746.00,91.66,43553.00
41750.00,91.89,43553.00
41751.00,91.92,43553.00
41752.00,92.04,43553.00
41753.00,91.85,43553.00
41754.00,91.88,43553.00
41757.00,92.26,43553.00
41758.00,92.30,43553.00
41759.00,92.34,43553.00
41760.00,92.54,43553.00
41761.00,92.45,43553.00
41764.00,92.48,43553.00
41765.00,92.55,43553.00
