t,Value,Expiry
41598.00,80.17,43544.00
41599.00,79.73,43544.00
41600.00,79.77,43544.00
41603.00,80.17,43544.00
41604.00,80.33,43544.00
41605.00,80.17,43544.00
41607.00,80.5,43544.00
41610.00,80.61,43544.00
41611.00,80.45,43544.00
41612.00,80.3,43544.00
41613.00,79.76,43544.00
41614.00,79.99,43544.00
41617.00,80.1,43544.00
41618.00,79.94,43544.00
41619.00,80.33,43544.00
41620.00,80.07,43544.00
41621.00,79.04,43544.00
41624.00,79.39,43544.00
41625.00,79.47,43544.00
41626.00,78.82,43544.00
41627.00,78.41,43544.00
41628.00,78.15,43544.00
41631.00,78.15,43544.00
41632.00,78.08,43544.00
41634.00,78.26,43544.00
41635.00,78.39,43544.00
41638.00,78.32,43544.00
41639.00,78.08,43544.00
41641.00,77.23,43544.00
41642.00,76.96,43544.00
41645.00,77.01,43544.00
41646.00,76.09,43544.00
41647.00,75.61,43544.00
41648.00,75.9,43544.00
41649.00,75.89,43544.00
41652.00,75.81,43544.00
41653.00,76.65,43544.00
41654.00,77.03,43544.00
41655.00,76.08,43544.00
41656.00,76.01,43544.00
41660.00,75.93,43544.00
41661.00,75.8,43544.00
41662.00,75.6,43544.00
41663.00,75.98,43544.00
41666.00,75.9,43544.00
41667.00,76.13,43544.00
41668.00,75.72,43544.00
41669.00,75.51,43544.00
41670.00,74.98,43544.00
41673.00,75.33,43544.00
41674.00,76,43544.00
41675.00,77.21,43544.00
41676.00,77.36,43544.00
41677.00,77.77,43544.00
41680.00,77.46,43544.00
41681.00,78,43544.00
41682.00,78.2,43544.00
41683.00,78.39,43544.00
41684.00,78.44,43544.00
41688.00,77.78,43544.00
41689.00,77.56,43544.00
41690.00,77.9,43544.00
41691.00,78.07,43544.00
41694.00,78.29,43544.00
41695.00,77.98,43544.00
41696.00,78.09,43544.00
41697.00,78.42,43544.00
41698.00,78.67,43544.00
41701.00,78.67,43544.00
41702.00,78.62,43544.00
41703.00,79.28,43544.00
41704.00,79.78,43544.00
41705.00,79.85,43544.00
41708.00,79.62,43544.00
41709.00,79.97,43544.00
41710.00,79.89,43544.00
41711.00,80.26,43544.00
41712.00,80.4,43544.00
41715.00,79.94,43544.00
41716.00,79.87,43544.00
41717.00,79.73,43544.00
41718.00,79.95,43544.00
41719.00,80.04,43544.00
41722.00,79.99,43544.00
41723.00,79.63,43544.00
41724.00,79.52,43544.00
41725.00,79.35,43544.00
41726.00,78.56,43544.00
41729.00,78.96,43544.00
41730.00,79.34,43544.00
41731.00,80.33,43544.00
41732.00,80.76,43544.00
41733.00,80.63,43544.00
41736.00,80.76,43544.00
41737.00,80.58,43544.00
41738.00,80.45,43544.00
41739.00,80.58,43544.00
41740.00,80.47,43544.00
41743.00,80.55,43544.00
41744.00,80.64,43544.00
41745.00,80.79,43544.00
41746.00,80.85,43544.00
41750.00,81.27,43544.00
41751.00,81.61,43544.00
41752.00,81.55,43544.00
41753.00,81.24,43544.00
41754.00,81.13,43544.00
41757.00,81.26,43544.00
41758.00,81.18,43544.00
41759.00,81.09,43544.00
41760.00,81.03,43544.00
41761.00,80.88,43544.00
41764.00,80.91,43544.00
41765.00,80.81,43544.00
41766.00,81.28,43544.00
41767.00,81.21,43544.00
41768.00,80.97,43544.00
41771.00,81.02,43544.00
41772.00,81.25,43544.00
41773.00,81.17,43544.00
41774.00,81.3,43544.00
41775.00,81.62,43544.00
41778.00,81.54,43544.00
41779.00,81.83,43544.00
41780.00,81.84,43544.00
41781.00,82.13,43544.00
41782.00,82.38,43544.00
41786.00,82.35,43544.00
41787.00,82.81,43544.00
41788.00,82.65,43544.00
41789.00,82.91,43544.00
41792.00,83.1,43544.00
41793.00,83.24,43544.00
41794.00,83.11,43544.00
41795.00,83.77,43544.00
41796.00,83.81,43544.00
41799.00,84.05,43544.00
41800.00,84.16,43544.00
41801.00,84.42,43544.00
41802.00,84.36,43544.00
41803.00,84.61,43544.00
41806.00,85.42,43544.00
41807.00,86.12,43544.00
41808.00,86.42,43544.00
41809.00,86.91,43544.00
41810.00,86.78,43544.00
41813.00,87.13,43544.00
41814.00,87.12,43544.00
41815.00,87.67,43544.00
41816.00,87.5,43544.00
41817.00,87.73,43544.00
41820.00,87.78,43544.00
41821.00,88.59,43544.00
41822.00,88.62,43544.00
41823.00,88.78,43544.00
41827.00,89.14,43544.00
41828.00,88.76,43544.00
41829.00,88.63,43544.00
41830.00,88.16,43544.00
41831.00,87.76,43544.00
41834.00,88.41,43544.00
41835.00,87.82,43544.00
41836.00,87.2,43544.00
41837.00,86.31,43544.00
41838.00,86,43544.00
41841.00,87.57,43544.00
41842.00,87.19,43544.00
41843.00,87.7,43544.00
41844.00,87.63,43544.00
41845.00,87.9,43544.00
41848.00,87.2,43544.00
41849.00,87.06,43544.00
41850.00,87.19,43544.00
41851.00,86.72,43544.00
41852.00,87.1,43544.00
41855.00,87.39,43544.00
41856.00,87.53,43544.00
41857.00,87.78,43544.00
41858.00,88.44,43544.00
41859.00,87.94,43544.00
41862.00,88.06,43544.00
41863.00,88.15,43544.00
41864.00,88.57,43544.00
41865.00,87.73,43544.00
41866.00,88.09,43544.00
41869.00,88.17,43544.00
41870.00,87.97,43544.00
41871.00,87.48,43544.00
41872.00,87.37,43544.00
41873.00,87.89,43544.00
41876.00,87.88,43544.00
41877.00,87.98,43544.00
41878.00,87.52,43544.00
41879.00,87.01,43544.00
41880.00,87.04,43544.00
41884.00,86.37,43544.00
41885.00,86.49,43544.00
41886.00,86.51,43544.00
41887.00,86.54,43544.00
41890.00,86.85,43544.00
41891.00,87.02,43544.00
41892.00,87.13,43544.00
41893.00,87.21,43544.00
41894.00,87.07,43544.00
41897.00,87.09,43544.00
41898.00,87.26,43544.00
41899.00,87.09,43544.00
41900.00,86.89,43544.00
41901.00,87.03,43544.00
41904.00,86.83,43544.00
41905.00,86.46,43544.00
41906.00,86.07,43544.00
41907.00,86.07,43544.00
41908.00,85.61,43544.00
41911.00,85.08,43544.00
41912.00,84.32,43544.00
41913.00,84.51,43544.00
41914.00,83.39,43544.00
41915.00,82.91,43544.00
41918.00,83.59,43544.00
41919.00,83.41,43544.00
41920.00,83.6,43544.00
41921.00,83.99,43544.00
41922.00,84.15,43544.00
41925.00,84.8,43544.00
41926.00,84.28,43544.00
41927.00,82.84,43544.00
41928.00,81.6,43544.00
41929.00,81.56,43544.00
41932.00,80.59,43544.00
41933.00,79.71,43544.00
41934.00,79.25,43544.00
41935.00,79.81,43544.00
41936.00,80.24,43544.00
41939.00,80.04,43544.00
41940.00,80.3,43544.00
41941.00,80.67,43544.00
41942.00,80.46,43544.00
41943.00,80.92,43544.00
41946.00,81.44,43544.00
41947.00,81.01,43544.00
41948.00,80.79,43544.00
41949.00,81.04,43544.00
41950.00,80.74,43544.00
41953.00,80.33,43544.00
41954.00,80.7,43544.00
41955.00,80.51,43544.00
41956.00,78.96,43544.00
41957.00,79.89,43544.00
41960.00,80.1,43544.00
41961.00,79.8,43544.00
41962.00,79.21,43544.00
41963.00,79.47,43544.00
41964.00,80.34,43544.00
41967.00,80.02,43544.00
41968.00,79.54,43544.00
41969.00,79.98,43544.00
41971.00,76.44,43544.00
41974.00,78.24,43544.00
41975.00,77.01,43544.00
41976.00,76.93,43544.00
41977.00,75.41,43544.00
41978.00,74.1,43544.00
41981.00,71.9,43544.00
41982.00,72.17,43544.00
41983.00,70.63,43544.00
41984.00,70.48,43544.00
41985.00,68.55,43544.00
41988.00,67.15,43544.00
41989.00,66.08,43544.00
41990.00,66.57,43544.00
41991.00,66.63,43544.00
41992.00,69.51,43544.00
41995.00,69.34,43544.00
41996.00,70.63,43544.00
41997.00,70.84,43544.00
41999.00,70.47,43544.00
42002.00,69.68,43544.00
42003.00,69.67,43544.00
42004.00,69.53,43544.00
42006.00,69.03,43544.00
42009.00,67.7,43544.00
42010.00,65.83,43544.00
42011.00,65.29,43544.00
42012.00,65.33,43544.00
42013.00,66.38,43544.00
42016.00,65.68,43544.00
42017.00,66.31,43544.00
42018.00,66.99,43544.00
42019.00,64.85,43544.00
42020.00,65.96,43544.00
42024.00,64.52,43544.00
42025.00,65.03,43544.00
42026.00,64.42,43544.00
42027.00,64.8,43544.00
42030.00,64.61,43544.00
42031.00,65.63,43544.00
42032.00,64.99,43544.00
42033.00,65.93,43544.00
42034.00,68.3,43544.00
42037.00,68.73,43544.00
42038.00,70.07,43544.00
42039.00,68.25,43544.00
42040.00,68.79,43544.00
42041.00,68.11,43544.00
42044.00,68.56,43544.00
42045.00,67.98,43544.00
42046.00,68.1,43544.00
42047.00,69.22,43544.00
42048.00,68.4,43544.00
42052.00,68.02,43544.00
42053.00,67.57,43544.00
42054.00,66.89,43544.00
42055.00,67.89,43544.00
42058.00,67.85,43544.00
42059.00,68.3,43544.00
42060.00,68.94,43544.00
42061.00,68.51,43544.00
42062.00,68.6,43544.00
42065.00,68.14,43544.00
42066.00,68.72,43544.00
42067.00,67.53,43544.00
42068.00,67.09,43544.00
42069.00,66.45,43544.00
42072.00,65.97,43544.00
42073.00,65.38,43544.00
42074.00,65.58,43544.00
42075.00,65.06,43544.00
42076.00,64.4,43544.00
42079.00,64.71,43544.00
42080.00,63.98,43544.00
42081.00,65.45,43544.00
42082.00,64.44,43544.00
42083.00,65.04,43544.00
42086.00,65.28,43544.00
42087.00,64.64,43544.00
42088.00,64.71,43544.00
42089.00,64.79,43544.00
42090.00,63.44,43544.00
42093.00,64.11,43544.00
42094.00,63.69,43544.00
42095.00,64.59,43544.00
42096.00,63.95,43544.00
42100.00,64.47,43544.00
42101.00,63.97,43544.00
42102.00,62.81,43544.00
42103.00,63.85,43544.00
42104.00,64.36,43544.00
42107.00,64.05,43544.00
42108.00,64.23,43544.00
42109.00,65.64,43544.00
42110.00,65.95,43544.00
42111.00,65.39,43544.00
42114.00,66.2,43544.00
42115.00,66.35,43544.00
42116.00,66.79,43544.00
42117.00,67.45,43544.00
42118.00,66.38,43544.00
42121.00,66.35,43544.00
42122.00,66.38,43544.00
42123.00,66.41,43544.00
42124.00,66.5,43544.00
42125.00,66.42,43544.00
42128.00,66.72,43544.00
42129.00,67.25,43544.00
42130.00,67.54,43544.00
42131.00,67.14,43544.00
42132.00,67.6,43544.00
42135.00,67.65,43544.00
42136.00,67.68,43544.00
42137.00,67.5,43544.00
42138.00,67.88,43544.00
42139.00,67.84,43544.00
42142.00,67.47,43544.00
42143.00,66.66,43544.00
42144.00,67.02,43544.00
42145.00,67.05,43544.00
42146.00,66.5,43544.00
42150.00,66.35,43544.00
42151.00,65.93,43544.00
42152.00,65.96,43544.00
42153.00,66.52,43544.00
42156.00,66.04,43544.00
42157.00,66.9,43544.00
42158.00,66.46,43544.00
42159.00,65.87,43544.00
42160.00,67.13,43544.00
42163.00,66.47,43544.00
42164.00,67.07,43544.00
42165.00,67.57,43544.00
42166.00,67.12,43544.00
42167.00,66.25,43544.00
42170.00,66.65,43544.00
42171.00,66.92,43544.00
42172.00,66.89,43544.00
42173.00,67.19,43544.00
42174.00,66.48,43544.00
42177.00,67.17,43544.00
42178.00,66.76,43544.00
42179.00,66.32,43544.00
42180.00,66.12,43544.00
42181.00,66.27,43544.00
42184.00,65.69,43544.00
42185.00,66.07,43544.00
42186.00,65.6,43544.00
42187.00,65.53,43544.00
42191.00,62.5,43544.00
42192.00,62.66,43544.00
42193.00,62.83,43544.00
42194.00,63.65,43544.00
42195.00,64.45,43544.00
42198.00,64.66,43544.00
42199.00,64.61,43544.00
42200.00,63.49,43544.00
42201.00,62.91,43544.00
42202.00,62.64,43544.00
42205.00,62.56,43544.00
42206.00,63.23,43544.00
42207.00,62.25,43544.00
42208.00,61.53,43544.00
42209.00,60.79,43544.00
42212.00,60.75,43544.00
42213.00,60.89,43544.00
42214.00,60.96,43544.00
42215.00,61.04,43544.00
42216.00,60.58,43544.00
42219.00,59.31,43544.00
42220.00,59.38,43544.00
42221.00,59.17,43544.00
42222.00,59.67,43544.00
42223.00,58.98,43544.00
42226.00,60.07,43544.00
42227.00,59.83,43544.00
42228.00,60.4,43544.00
42229.00,60.59,43544.00
42230.00,61.01,43544.00
42233.00,60.57,43544.00
42234.00,60.17,43544.00
42235.00,58.67,43544.00
42236.00,57.31,43544.00
42237.00,55.35,43544.00
42240.00,53.91,43544.00
42241.00,54.74,43544.00
42242.00,55.17,43544.00
42243.00,58.52,43544.00
42244.00,59.74,43544.00
42247.00,61.78,43544.00
42248.00,57.91,43544.00
42249.00,58.87,43544.00
42250.00,58.79,43544.00
42251.00,57.79,43544.00
42255.00,58.46,43544.00
42256.00,57.41,43544.00
42257.00,58.48,43544.00
42258.00,57.91,43544.00
42261.00,56.67,43544.00
42262.00,57.16,43544.00
42263.00,58.14,43544.00
42264.00,57.8,43544.00
42265.00,56.58,43544.00
42268.00,57.97,43544.00
42269.00,58.13,43544.00
42270.00,56.85,43544.00
42271.00,57.42,43544.00
42272.00,57.68,43544.00
42275.00,56.36,43544.00
42276.00,56.32,43544.00
42277.00,56.48,43544.00
42278.00,55.52,43544.00
42279.00,55.59,43544.00
42282.00,56.53,43544.00
42283.00,57.88,43544.00
42284.00,57.58,43544.00
42285.00,57.3,43544.00
42286.00,57.85,43544.00
42289.00,56.85,43544.00
42290.00,57.05,43544.00
42291.00,57.28,43544.00
42292.00,57.28,43544.00
42293.00,57.69,43544.00
42296.00,56.7,43544.00
42297.00,57.1,43544.00
42298.00,56.72,43544.00
42299.00,57.23,43544.00
42300.00,56.6,43544.00
42303.00,56.61,43544.00
42304.00,55.9,43544.00
42305.00,57.35,43544.00
42306.00,57.04,43544.00
42307.00,57.37,43544.00
42310.00,57.13,43544.00
42311.00,57.93,43544.00
42312.00,56.77,43544.00
42313.00,56.6,43544.00
42314.00,56.27,43544.00
42317.00,56.29,43544.00
42318.00,56.53,43544.00
42319.00,55.54,43544.00
42320.00,55.25,43544.00
42321.00,55.07,43544.00
42324.00,55.2,43544.00
42325.00,54.27,43544.00
42326.00,54.33,43544.00
42327.00,54.05,43544.00
42328.00,54.15,43544.00
42331.00,54.44,43544.00
42332.00,55.62,43544.00
42333.00,55.59,43544.00
42335.00,54.93,43544.00
42338.00,54.71,43544.00
42339.00,54.63,43544.00
42340.00,54.13,43544.00
42341.00,54.75,43544.00
42342.00,54.46,43544.00
42345.00,54.01,43544.00
42346.00,53.87,43544.00
42347.00,53.77,43544.00
42348.00,54.08,43544.00
42349.00,53.36,43544.00
42352.00,52.37,43544.00
42353.00,52.57,43544.00
42354.00,52.03,43544.00
42355.00,51.85,43544.00
42356.00,51.52,43544.00
42359.00,50.78,43544.00
42360.00,50,43544.00
42361.00,50.4,43544.00
42362.00,51.34,43544.00
42366.00,50.91,43544.00
42367.00,51.64,43544.00
42368.00,50.94,43544.00
42369.00,51.51,43544.00
42373.00,51.38,43544.00
42374.00,50.87,43544.00
42375.00,49.67,43544.00
42376.00,48.76,43544.00
42377.00,48.7,43544.00
42380.00,47.32,43544.00
42381.00,46.02,43544.00
42382.00,45.08,43544.00
42383.00,45.72,43544.00
42384.00,43.47,43544.00
42388.00,42.36,43544.00
42389.00,41.81,43544.00
42390.00,42.28,43544.00
42391.00,44.66,43544.00
42394.00,44.49,43544.00
42395.00,45.26,43544.00
42396.00,45.96,43544.00
42397.00,46.6,43544.00
42398.00,47.7,43544.00
42401.00,46.43,43544.00
42402.00,45.63,43544.00
42403.00,46.62,43544.00
42404.00,46.88,43544.00
42405.00,46.81,43544.00
42408.00,46.37,43544.00
42409.00,43.79,43544.00
42410.00,44.27,43544.00
42411.00,44.22,43544.00
42412.00,46.74,43544.00
42416.00,45.5,43544.00
42417.00,46.68,43544.00
42418.00,46.08,43544.00
42419.00,45.12,43544.00
42422.00,46.15,43544.00
42423.00,45.08,43544.00
42424.00,45.51,43544.00
42425.00,45.67,43544.00
42426.00,44.89,43544.00
42429.00,45.97,43544.00
42430.00,46.16,43544.00
42431.00,45.99,43544.00
42432.00,45.9,43544.00
42433.00,46.81,43544.00
42436.00,48.25,43544.00
42437.00,47.29,43544.00
42438.00,48.23,43544.00
42439.00,47.85,43544.00
42440.00,48.2,43544.00
42443.00,47.26,43544.00
42444.00,46.99,43544.00
42445.00,47.74,43544.00
42446.00,48.01,43544.00
42447.00,48.22,43544.00
42450.00,48.41,43544.00
42451.00,48.61,43544.00
42452.00,47.99,43544.00
42453.00,47.72,43544.00
42457.00,47.49,43544.00
42458.00,47.34,43544.00
42459.00,47.94,43544.00
42460.00,48.2,43544.00
