t,Value,Expiry
41439,89.84,43553
41442,88.87,43553
41443,88.73,43553
41444,88.51,43553
41445,86.3,43553
41446,85.71,43553
41449,86.68,43553
41450,87.06,43553
41451,87.22,43553
41452,86.9,43553
41453,86.24,43553
41456,85.32,43553
41457,86.09,43553
41458,85.97,43553
41459,86.15,43553
41460,85.72,43553
41463,86.01,43553
41464,86.14,43553
41465,86.81,43553
41466,87.43,43553
41467,87.09,43553
41470,86.71,43553
41471,86.48,43553
41472,86.37,43553
41473,86.42,43553
41474,86.48,43553
41477,86.62,43553
41478,87.11,43553
41479,87.25,43553
41480,87.79,43553
41481,88.65,43553
41484,88.6,43553
41485,88.58,43553
41486,88.43,43553
41487,88.12,43553
41488,88.22,43553
41491,88.56,43553
41492,88.43,43553
41493,88.2,43553
41494,88.86,43553
41495,88.69,43553
41498,88.6,43553
41499,88.63,43553
41500,88.81,43553
41501,88.65,43553
41502,88.53,43553
41505,88.23,43553
41506,88.68,43553
41507,88.78,43553
41508,88.46,43553
41509,87.98,43553
41512,88.26,43553
41513,88.18,43553
41514,87.99,43553
41515,87.88,43553
41516,88.49,43553
41519,89.01,43553
41520,88.54,43553
41521,88.82,43553
41522,88.75,43553
41523,88.66,43553
41526,88,43553
41527,88.2,43553
41528,88.17,43553
41529,88.4,43553
41530,88.4,43553
41533,88.44,43553
41534,88.37,43553
41535,88.29,43553
41536,88.37,43553
41537,88.46,43553
41540,88.54,43553
41541,88.72,43553
41542,88.42,43553
41543,88.91,43553
41544,88.36,43553
41547,88.33,43553
41548,88.59,43553
41549,88.55,43553
41550,88.24,43553
41551,88.6,43553
41554,88.75,43553
41555,88.3,43553
41556,88.4,43553
41557,88.2,43553
41558,88.42,43553
41561,88.12,43553
41562,88.16,43553
41563,87.44,43553
41564,87.51,43553
41565,88.26,43553
41568,88.6,43553
41569,88.4,43553
41570,87.85,43553
41571,87.41,43553
41572,87.69,43553
41575,88.18,43553
41576,88.17,43553
41577,89.2,43553
41578,89.04,43553
41579,88.64,43553
41582,88.54,43553
41583,88.79,43553
41584,88.56,43553
41585,88.66,43553
41586,88.23,43553
41589,88.45,43553
41590,88.54,43553
41591,88.73,43553
41592,88.41,43553
41593,88.8,43553
41596,88.63,43553
41597,87.68,43553
41598,88.07,43553
41599,87.93,43553
41600,88.23,43553
41603,88.89,43553
41604,88.86,43553
41605,89.21,43553
41606,89.42,43553
41607,88.73,43553
41610,89.31,43553
41611,89.37,43553
41612,88.87,43553
41613,88.33,43553
41614,88.88,43553
41617,89.04,43553
41618,89.36,43553
41619,89.88,43553
41620,89.45,43553
41621,89.09,43553
41624,88.96,43553
41625,88.62,43553
41626,88.47,43553
41627,88.24,43553
41628,88.25,43553
41631,87.68,43553
41632,87.59,43553
41634,87.51,43553
41635,87.37,43553
41638,87.28,43553
41639,86.86,43553
41641,86.02,43553
41642,86.15,43553
41645,86.74,43553
41646,86.01,43553
41647,86.09,43553
41648,86.48,43553
41649,86.55,43553
41652,86.68,43553
41653,87.71,43553
41654,88.55,43553
41655,88.77,43553
41656,88.89,43553
41659,89.04,43553
41660,89.29,43553
41661,90.32,43553
41662,89.95,43553
41663,90.5,43553
41666,90.61,43553
41667,91.12,43553
41668,90.98,43553
41669,90.53,43553
41670,90.12,43553
41673,90.27,43553
41674,90.45,43553
41675,91.02,43553
41676,91.09,43553
41677,91.86,43553
41680,91.06,43553
41681,91.56,43553
41682,91.59,43553
41683,91.97,43553
41684,91.95,43553
41687,92.13,43553
41688,91.55,43553
41689,91.51,43553
41690,91.59,43553
41691,91.51,43553
41694,91.8,43553
41695,91.4,43553
41696,91.29,43553
41697,91.59,43553
41698,91.73,43553
41701,91.44,43553
41702,90.95,43553
41703,90.88,43553
41704,91.18,43553
41705,91.64,43553
41708,92.06,43553
41709,92.48,43553
41710,92.64,43553
41711,92.82,43553
41712,93.08,43553
41715,92.37,43553
41716,92.35,43553
41717,92.17,43553
41718,92.43,43553
41719,92.3,43553
41722,92.16,43553
41723,92.06,43553
41724,92.25,43553
41725,92.21,43553
